,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,35.85068082809448,0.16970034894758307,1.6981980800628662,0.01116647731868688,200,5,4,sqrt,,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.41883977145708495,0.41951075637201385,0.4204897316805577,0.4196134198365522,0.0006774939236991067,2
1,132.7876840432485,0.5449147730022516,1.1118340492248535,0.04542177550779809,200,10,1,auto,20,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}",0.3818282586697743,0.3894082883729435,0.3925721543303001,0.38793623379100595,0.0045079952684254024,7
2,174.37643472353616,6.070378196870622,1.4674986203511555,0.10481603076638422,200,40,20,auto,300,True,"{'n_estimators': 200, 'min_samples_split': 40, 'min_samples_leaf': 20, 'max_features': 'auto', 'max_depth': 300, 'bootstrap': True}",0.4178005502786829,0.4159223024950248,0.41758692192054425,0.4171032582314173,0.0008396037189607273,3
3,258.2361350059509,1.9548574953375244,7.888360023498535,0.23089824570047113,1800,20,30,sqrt,300,False,"{'n_estimators': 1800, 'min_samples_split': 20, 'min_samples_leaf': 30, 'max_features': 'sqrt', 'max_depth': 300, 'bootstrap': False}",0.394481582559543,0.3927900168301479,0.39214239232507975,0.3931379972382569,0.0009861610793282724,6
4,1950.955562988917,13.41705349807749,3.06787904103597,0.01800080538453857,400,20,4,auto,300,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 300, 'bootstrap': True}",0.4186573687797839,0.42062968625304975,0.42355239633999053,0.42094648379094135,0.002010902652012496,1
5,6909.294962644577,90.06158821390744,6.454685052235921,1.1818472155169384,1000,10,8,auto,200,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 200, 'bootstrap': False}",0.2774294368622542,0.27507690216003866,0.2909504305498838,0.2811522565240589,0.0069946058055020514,9
6,6184.75753347079,763.6107866014435,4.940349658330281,0.7045529759829057,1000,2,30,auto,100,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 30, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': False}",0.3693439726629846,0.36840954136837145,0.3773081420521085,0.3716872186944882,0.003992858208123547,8
7,117.97630866368611,0.7780431538757765,5.1639649868011475,0.13307963029173034,1000,20,10,sqrt,300,True,"{'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 300, 'bootstrap': True}",0.4066722907128474,0.40695584004236285,0.4055598440903292,0.4063959916151798,0.0006024710604682059,5
8,3430.8857040405273,2069.427222203044,4.2588099638621015,0.8093112181608876,1200,10,30,auto,500,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 30, 'max_features': 'auto', 'max_depth': 500, 'bootstrap': True}",0.4168518786614218,0.4129287883959777,0.413282699353558,0.4143544554703191,0.0017718455892217514,4
9,52.22027778625488,2.60145827040709,2.056576649347941,0.26625392013106824,1400,30,1,sqrt,10,True,"{'n_estimators': 1400, 'min_samples_split': 30, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.27892603537206584,0.28095260563352753,0.27972217309788994,0.2798669380344944,0.0008336523741195748,10
